id,name_en,name_en_override,name_ka,name_ka_override,name_ru_override,lat,lat_override,lon,lon_override,rotation,rotation_override,mergeParent,hubTarget,vehicleMode_override,provider_override,gondolaInfo_override
1:799,Station Square,,სადგურის მოედანი,,,41.720675,,44.798547,,328,,,HUB_1_799,,,
1:801,Public School #24,,#24-ე საჯარო სკოლა,,,41.716785,,44.791898,,150,,,,,,
1:802,General Giorgi Kvinitadze Street,,გენერალ გიორგი კვინიტაძის ქუჩა,,,41.717996,41.71796,44.789857,44.78976,248,,,,,,
1:803,Heroes Square (Saburtalo direction),,გმირთა მოედანი,,,41.713774,,44.782301,,270,,,HUB_1_3558,,,
1:804,Zoo,,ზოოპარკი,,,41.713526,,44.780826,,123,,,,,,
1:806,Simon Janashia Street,,სიმონ ჯანაშიას ქუჩა,,,41.708005,,44.782879,,116,,1:4359,,,,
1:809,Tbilisi Concert Hall,,ფილარმონია,,,41.706992,41.70696,44.786944,44.78702,320,,,HUB_1_809,,,
1:810,Merab Kostava St #47,,მერაბ კოსტავას ქუჩა #47,,,41.709889,,44.784586,,334,,,,,,
1:811,Heroes Square (Saburtalo direction),,გმირთა მოედანი,,,41.714769,41.71474,44.784136,44.78418,45,,,,,,
1:813,Mikheil Tsinamdzghvrishvili Street,,მიხეილ წინამძღვრიშვილის ქუჩა,,,41.719556,41.71949,44.794267,44.79426,62,,,,,,
1:814,"M/S ""Rustaveli""",,"მ/ს ""რუსთაველი""",,,41.703223,,44.791209,,127,,,,,,
1:815,"M/S ""Rustaveli""",,"მ/ს ""რუსთაველი""",,,41.70334,,44.791208,,306,,,,,,
1:817,Opera Theater,,ოპერის თეატრი,,,41.700768,41.7008,44.795693,44.79576,317,,,,,,
1:818,Opera Theater,,ოპერის თეატრი,,,41.700712,,44.795598,,138,,,,,,
1:819,Tbilisi First Public School,,პირველი კლასიკური გიმნაზია,,,41.698033,,44.798617,,334,,,,,,
1:820,Tbilisi First Public School,,პირველი კლასიკური გიმნაზია,,,41.69788,,44.798582,,153,,,,,,
1:821,"M/S ""Freedom Square""",,"მ/ს ""თავისუფლების მოედანი""",,,41.695413,41.69532,44.800103,44.80007,163,,,,,,
1:822,Freedom Square,,თავისუფლების მოედანი,,,41.694033,,44.801559,,276,,,,,,
1:824,Nikoloz Baratashvili Street,,ნიკოლოზ ბარათაშვილის ქუჩა,,,41.696663,,44.804746,,259,,,HUB_1_3983,,,
1:825,"M/S ""Avlabari""",,"მ/ს ""ავლაბარი""",,,41.692227,41.692214,44.814762,44.814755,296,,,HUB_1_825,,,
1:826,Public School #202 the Visually Impaired,,#202-ე უსინათლო და მცირემხედველთა საჯარო სკოლა,,,41.689236,,44.820131,,125,,1:4325,,,,
1:828,Public School #89,,#89-ე საჯარო სკოლა,,,41.687299,41.68732,44.824994,44.82498,91,,,,,,
1:829,Public School #89,,#89-ე საჯარო სკოლა,,,41.687508,41.6875,44.82461,44.82467,272,,,,,,
1:830,"M/S ""300 Aragveli""",,"მ/ს ""300 არაგველი""",,,41.687475,,44.827035,,271,,,,,,
1:831,"M/S ""300 Aragveli""",,"მ/ს ""300 არაგველი""",,,41.687311,,44.827032,,90,,1:4350,,,,
1:832,Public School #96,,#96-ე საჯარო სკოლა,,,41.687295,,44.830707,,89,,,,,,
1:836,"M/S ""Samgori""",,"მ/ს ""სამგორი""",,,41.686646,,44.855885,,105,,,,,,
1:837,"M/S ""Samgori""",,"მ/ს ""სამგორი""",,,41.687011,,44.856606,,274,,,,,,
1:838,Giorgi Abashvili Street,,გიორგი აბაშვილის ქუჩა,,,41.684328,,44.887682,,74,,,,,,
1:839,Akaki Vasadze Street,,აკაკი ვასაძის ქუჩა,,,41.684384,,44.881382,,270,,,,,,
1:841,Airport Settlement,,აეროპორტის დასახლება,,,41.683451,,44.954577,,147,,,,,,
1:842,Airport Settlement,,აეროპორტის დასახლება,,,41.682842,,44.955422,,327,,,,,,
1:844,Shindisi Street,,შინდისის ქუჩა,,,41.689581,,44.792832,,72,,,,,,
1:845,Gergeti Street,,გერგეთის ქუჩა,,,41.689871,,44.794178,,89,,,,,,
1:846,Gizo Nishnianidze Street,,გიზო ნიშნიანიძის ქუჩა,,,41.68944,,44.796686,,89,,,,,,
1:847,Ivane Machabeli Street,,ივანე მაჩაბლის ქუჩა,,,41.689567,,44.799757,,87,,,,,,
1:848,Shalva Dadiani St #32,,შალვა დადიანის ქუჩა #32,,,41.689983,,44.802246,,359,,,,,,
1:851,Nikoloz Baratashvili Street,,ნიკოლოზ ბარათაშვილის ქუჩა,,,41.69638,,44.804341,,85,,,HUB_VAKE,,,
1:853,Sulkhan-Saba Street,,სულხან-საბას ქუჩა,,,41.692531,,44.799247,,248,,,,,,
1:855,Mikheil Lermontov Street,,მიხეილ ლერმონტოვის ქუჩა,,,41.691351,,44.798435,,175,,,,,,
1:856,Last Rise,,ბოლო აღმართი,,,41.689515,,44.789991,,300,,,,,,
1:857,Gergeti Street,,გერგეთის ქუჩა,,,41.689945,,44.794908,,270,,,,,,
1:858,Amaghleba Street,,ამაღლების ქუჩა,,,41.690592,,44.797248,,178,,,,,,
1:859,Shindisi Street,,შინდისის ქუჩა,,,41.689595,,44.792542,,253,,,,,,
1:861,Maro Makashvili Rise #15,,მარო მაყაშვილის აღმართი #15,,,41.685115,,44.795033,,30,,,,,,
1:864,Dedaena Park,,დედაენის ბაღი,,,41.700983,,44.803125,,35,,,,,,
1:865,Saarbrücken Square,,ზაარბრიუკენის მოედანი,,,41.702933,,44.804599,,286,,,,,,
1:866,Davit Aghmashenebeli Avenue,,დავით აღმაშენებლის გამზირი,,,41.706467,,44.799693,,333,,,,,,
1:867,"M/S ""Marjanishvili""",,"მ/ს ""მარჯანიშვილი""",,,41.709477,41.70945,44.797614,44.79769,334,,,HUB_DIDUBE,,,
1:884,13 May Park,,13 მაისის სკვერი,,,41.757091,,44.773812,,328,,,,,,
1:886,Boris Paichadze St #11,,ბორის პაიჭაძის ქუჩა #11,,,41.762011,,44.774641,,1,,,,,,
1:887,Robert Bardzimashvili Street,,რობერტ ბარძიმაშვილის ქუჩა,,,41.765788,,44.775268,,358,,,,,,
1:888,Dighomi Forest Park,,დიღმის ტყეპარკი,,,41.769013,,44.774912,,360,,,,,,
1:889,Esma Oniani Street,,ესმა ონიანის ქუჩა,,,41.772216,,44.774906,,360,,,,,,
1:890,Konstantine Chachava Street,,კონსტანტინე ჩაჩავას ქუჩა,,,41.77562,,44.774896,,0,,,,,,
1:892,Infectious Diseases Hospital,,ინფექციური საავადმყოფო,,,41.779853,,44.774861,,360,,,,,,
1:893,Infectious Diseases Hospital,,ინფექციური საავადმყოფო,,,41.779251,,44.774745,,181,,,,,,
1:894,Konstantine Chachava Street,,კონსტანტინე ჩაჩავას ქუჩა,,,41.775908,,44.774788,,180,,,,,,
1:897,13 May Park,,13 მაისის სკვერი,,,41.757349,,44.773165,,141,,,,,,
1:898,Shota Shalikashvili Bridge,,შოთა შალიკაშვილის ხიდი,,,41.755252,,44.77526,,141,,,,,,
1:900,Esma Oniani Street,,ესმა ონიანის ქუჩა,,,41.772084,,44.774799,,180,,,,,,
1:912,#18 Public School,,მე-#18 საჯარო სკოლა,,,41.720565,,44.788983,,150,,,,,,
1:914,Giorgi Tovstonogov Street,,გიორგი ტოვსტონოგოვის ქუჩა,,,41.713414,,44.794411,,148,,,,,,
1:915,"M/S ""Marjanishvili""",,"მ/ს ""მარჯანიშვილი""",,,41.710186,,44.796785,,154,,,,,,
1:916,Saint-Peterburg Street,,სანკტ პეტერბურგის ქუჩა,,,41.708604,,44.797955,,154,,,,,,
1:917,Kiev Street,,კიევის ქუჩა,,,41.706215,,44.79976,,149,,,,,,
1:920,Tskhra Marti Garden,,9 მარტის ბაღი,,,41.700968,,44.802966,,214,,,,,,
1:924,Simon Chikovani Street,,სიმონ ჩიქოვანის ქუჩა,,,41.716152,,44.778632,,168,,,,,,
1:925,26 May Square,,26 მაისის მოედანი,,,41.71775,41.71776,44.778192,44.77814,127,,,,,,
1:926,Pekini Avenue,,პეკინის გამზირი,,,41.720237,,44.776014,,321,,,,,,
1:928,M/S Technical University,,"მ/ს ""ტექნიკური უნივერსიტეტი""",,,41.721286,,44.774842,,323,,,,,,
1:929,Sulkhan Tsintsadze Street,,სულხან ცინცაძის ქუჩა,,,41.722483,,44.773627,,322,,,,,,
1:930,Sulkhan Tsintsadze Street,,სულხან ცინცაძის ქუჩა,,,41.722313,,44.773651,,140,,,,,,
1:931,Adam Mitskevich Street,,ადამ მიცკევიჩის ქუჩა,,,41.724493,,44.771433,,318,,,,,,
1:932,Adam Mitskevich Street,,ადამ მიცკევიჩის ქუჩა,,,41.724541,41.7245,44.771229,44.77117,133,,,,,,
1:937,Zurab Zhvania Square,,ზურაბ ჟვანიას მოედანი,,,41.731045,,44.766897,,265,,,,,,
1:938,Zurab Zhvania Square,,ზურაბ ჟვანიას მოედანი,,,41.730966,41.7309,44.766946,44.76695,86,,,,,,
1:939,Tashkenti Street,,ტაშკენტის ქუჩა,,,41.730701,,44.76355,,260,,,,,,
1:940,Tashkenti Street,,ტაშკენტის ქუჩა,,,41.730608,,44.76348,,85,,,,,,
1:941,Budapest Street,,ბუდაპეშტის ქუჩა,,,41.73009,,44.757442,,263,,,,,,
1:942,Budapest Street,,ბუდაპეშტის ქუჩა,,,41.730082,,44.75825,,83,,,,,,
1:943,Public School #203,,#203-ე საჯარო სკოლა,,,41.729792,,44.755227,,83,,,,,,
1:944,Public School #203,,#203-ე საჯარო სკოლა,,,41.72987,,44.755165,,263,,,,,,
1:945,Akvsenti Megreladze Street,,აქვსენტი მეგრელაძის ქუჩა,,,41.729629,,44.752419,,263,,,,,,
1:946,Akvsenti Megreladze Street,,აქვსენტი მეგრელაძის ქუჩა,,,41.729575,,44.752703,,82,,,,,,
1:947,Mikheil Asatiani Street,,მიხეილ ასათიანის ქუჩა,,,41.729369,,44.750678,,82,,,,,,
1:948,Mikheil Asatiani Street,,მიხეილ ასათიანის ქუჩა,,,41.729447,,44.750624,,262,,,,,,
1:949,Delisi Street,,დელისის ქუჩა,,,41.729001,,44.747242,,82,,,,,,
1:950,Delisi Street,,დელისის ქუჩა,,,41.729073,,44.747092,,262,,,,,,
1:951,Ferdinand Tavadze Street,,ფერდინანდ თავაძის ქუჩა,,,41.728585,,44.74328,,247,,,,,,
1:952,Ferdinand Tavadze Street,,ფერდინანდ თავაძის ქუჩა,,,41.728545,41.72851,44.743452,44.74345,68,,,,,,
1:953,Komarov School,,კომაროვის სკოლა,,,41.727436,,44.737433,,262,,,,,,
1:954,Komarov School,,კომაროვის სკოლა,,,41.727371,,44.73761,,83,,,,,,
1:955,Irakli Gamrekeli Street,,ირაკლი გამრეკელის ქუჩა,,,41.727169,,44.734684,,264,,,,,,
1:956,Ramaz Chkhikvadze Street,,რამაზ ჩხიკვაძის ქუჩა,,,41.726787,,44.73172,,83,,,,,,
1:957,Ramaz Chkhikvadze Street,,რამაზ ჩხიკვაძის ქუჩა,,,41.726881,,44.731841,,263,,,,,,
1:958,Public School #126,,#126-ე საჯარო სკოლა,,,41.726427,,44.727957,,83,,,,,,
1:959,Public School #126,,#126-ე საჯარო სკოლა,,,41.726607,,44.728894,,263,,,,,,
1:960,Besarion Zhghenti Street,,ბესარიონ ჟღენტის ქუჩა,,,41.726282,,44.725623,,262,,,,,,
1:961,Besarion Zhghenti Street,,ბესარიონ ჟღენტის ქუჩა,,,41.726174,,44.725385,,82,,,,,,
1:962,Shalva Nutsubidze St #221,,შალვა ნუცუბიძის ქუჩა #221,,,41.725448,,44.71737,,266,,,,,,
1:963,Public School #128,,#128-ე საჯარო სკოლა,,,41.725904,,44.722614,,81,,,,,,
1:964,Shalva Nutsubidze St #221,,შალვა ნუცუბიძის ქუჩა #221,,,41.725372,,44.717435,,85,,,,,,
1:966,Geology Institute,,გეოლოგიის ინსტიტუტი,,,41.720773,,44.709085,,277,,,,,,
1:967,Construction Supervision Agency,,სამშენებლო ზედამხედველობის სააგენტო,,,41.720303,,44.71405,,279,,,,,,
1:968,Ana Politkovskaia St #5,,ანა პოლიტკოვსკაიას ქუჩა #5,,,41.720589,,44.7113,,277,,,,,,
1:969,Sokhumi State University,,სოხუმის სახელმწიფო უნივერსიტეტი,,,41.721692,,44.704641,,107,,,,,,
1:970,Ana Politkovskaia Street,,ანა პოლიტკოვსკაიას ქუჩა,,,41.722055,,44.703114,,169,,,,,,
1:972,Elizbar Mindeli Street,,ელიზბარ მინდელის ქუჩა,,,41.720841,,44.707722,,102,,,,,,
1:973,Ana Politkovskaia St #10,,ანა პოლიტკოვსკაიას ქუჩა #10,,,41.720483,41.72046,44.711789,44.71178,102,,,,,,
1:974,Construction Supervision Agency,,სამშენებლო ზედამხედველობის სააგენტო,,,41.720201,41.72017,44.714482,44.71448,99,,,,,,
1:975,Special Penitentiary Service,,სპეციალური პენიტენციური სამსახური,,,41.720689,41.72068,44.717901,44.71792,351,,,,,,
1:976,Bagebi Cable Road,,ბაგების საბაგირო,,,41.717352,,44.718245,,114,,,,,,
1:977,Maghlivi Building of State University,,უნივერსიტეტის მაღლივი კორპუსი,,,41.717544,,44.719788,,274,,,,,,
1:981,Special Penitentiary Service,,სპეციალური პენიტენციური სამსახური,,,41.720095,,44.718355,,84,,,,,,
1:982,Petre Kavtaradze St #68,,პეტრე ქავთარაძის ქუჩა #68,,,41.720409,,44.721187,,82,,,,,,
1:983,Special Penitentiary Service,,სპეციალური პენიტენციური სამსახური,,,41.720203,,44.718561,,262,,,,,,
1:984,Petre Kavtaradze St #45,,პეტრე ქავთარაძის ქუჩა #45,,,41.720489,,44.721125,,261,,,,,,
1:985,Public School #35,,#35-ე საჯარო სკოლა,,,41.72064,,44.723673,,82,,,,,,
1:986,Public School #35,,#35-ე საჯარო სკოლა,,,41.720717,,44.723593,,263,,,,,,
1:987,Public School #122,,#122-ე საჯარო სკოლა,,,41.721306,,44.730457,,87,,,,,,
1:988,Public School #122,,#122-ე საჯარო სკოლა,,,41.721412,,44.730714,,261,,,,,,
1:989,Davit Tavkhelidze Street,,დავით თავხელიძის ქუჩა,,,41.721591,,44.73354,,84,,,,,,
1:990,Davit Tavkhelidze Street,,დავით თავხელიძის ქუჩა,,,41.72167,,44.733476,,266,,,,,,
1:992,Petre Kavtaradze St #33,,პეტრე ქავთარაძის ქუჩა #33,,,41.721036,,44.727018,,265,,,,,,
1:994,Kalistrate Kutatelidze Street,,კალისტრატე ქუთათელაძის ქუჩა,,,41.724059,41.72402,44.744568,44.74458,80,,,,,,
1:996,Ana Antonovskaia Street,,ანა ანტონოვსკაიას ქუჩა,,,41.724369,,44.748007,,83,,,,,,
1:997,Mikheil Asatiani Street,,მიხეილ ასათიანის ქუჩა,,,41.72597,,44.749659,,261,,,,,,
1:999,Givi Kartozia Street,,გივი კარტოზიას ქუჩა,,,41.724641,,44.751225,,83,,,,,,
1:1000,Vaso Godziashvili Park,,ვასო გოძიაშვილის ბაღი,,,41.725095,,44.755362,,82,,,,,,
1:1001,Tandzia Street,,ტანძიის ქუჩა,,,41.725458,,44.759042,,83,,,,,,
1:1003,Tashkenti Street,,ტაშკენტის ქუჩა,,,41.725986,,44.764363,,82,,,,,,
1:1004,Davit Gamrekeli Street,,დავით გამრეკელის ქუჩა,,,41.726391,41.72632,44.76822,44.76837,88,,,,,,
1:1007,Giorgi Saakadze Square,,გიორგი სააკაძის მოედანი,,,41.723636,,44.776661,,161,,,,,,
1:1008,Technical University 3rd Building,,ტექნიკური უნივერსიტეტი III კორპუსი,,,41.721262,,44.777564,,167,,,,,,
1:1009,M/S Technical University,,"მ/ს ""ტექნიკური უნივერსიტეტი""",,,41.719352,,44.778321,,348,,,,,,
1:1010,Giorgi Saakadze Square,,გიორგი სააკაძის მოედანი,,,41.724125,,44.77707,,348,,,,,,
1:1011,Technical University 3rd Building,,ტექნიკური უნივერსიტეტი III კორპუსი,,,41.722095,,44.777412,,346,,,,,,
1:1013,Public School #87,,#87-ე საჯარო სკოლა,,,41.686751,,44.83576,,99,,,,,,
1:1014,Lech Kaczynski,,ლეხ კაჩინსკის ქუჩა,,,41.687166,,44.833969,,278,,,,,,
1:1016,Public School #87,,#87-ე საჯარო სკოლა,,,41.686883,,44.836372,,283,,,,,,
1:1017,M/S Isani,,"მ/ს ""ისანი""",,,41.686728,41.68673,44.841467,44.8414,183,,,,,,
1:1018,Navtlughi Street,,ნავთლუღის ქუჩა,,,41.682424,,44.839869,,229,,,,,,
1:1019,Navtlughi Street,,ნავთლუღის ქუჩა,,,41.681562,,44.839057,,46,,,,,,
1:1020,Gabriel Salosi Square,,გაბრიელ სალოსის მოედანი,,,41.677902,,44.838579,,188,,,,,,
1:1021,Gabriel Salosi Square,,გაბრიელ სალოსის მოედანი,,,41.677964,,44.838679,,346,,,,,,
1:1024,Dirsichala Street,,დირსიჭალას ქუჩა,,,41.676364,,44.845424,,97,,,,,,
1:1025,Bolnisi Street,,ბოლნისის ქუჩა,,,41.676534,,44.844268,,277,,,,,,
1:1027,Shota Nadirashvili Street,,შოთა ნადირაშვილის ქუჩა,,,41.674172,,44.856703,,293,,,,,,
1:1028,Shota Nadirashvili Street,,შოთა ნადირაშვილის ქუჩა,,,41.67391,41.67385,44.85739,44.85734,112,,,,,,
1:1029,Beri Gabriel Salosi Ave #120,,ბერი გაბრიელ სალოსის გამზირი #120,,,41.673132,,44.862159,,290,,,,,,
1:1031,Beri Gabriel Salosi Ave #153,,ბერი გაბრიელ სალოსის გამზირი #153,,,41.67207,,44.867475,,103,,,,,,
1:1032,Beri Gabriel Salosi Ave #136,,ბერი გაბრიელ სალოსის გამზირი #136,,,41.672114,,44.867542,,281,,,,,,
1:1034,Beri Gabriel Salosi Ave #169,,ბერი გაბრიელ სალოსის გამზირი #169,,,41.670702,,44.872005,,105,,,,,,
1:1035,Bogdan Khmelnitski St #3,,ბოგდან ხმელნიცკის ქუჩა #3,,,41.671189,,44.875771,,17,,,,,,
1:1036,Bogdan Khmelnitski St #3,,ბოგდან ხმელნიცკის ქუჩა #3,,,41.671363,,44.875765,,194,,,,,,
1:1037,Bogdan Khmelnitski St #7,,ბოგდან ხმელნიცკის ქუჩა #7,,,41.671978,,44.878222,,108,,,,,,
1:1038,Bogdan Khmelnitski St #7,,ბოგდან ხმელნიცკის ქუჩა #7,,,41.672016,,44.8783,,288,,,,,,
1:1039,Saint Barbare Cemetery,,წმინდა ბარბარეს სასაფლაო,,,41.664733,,44.890665,,311,,,,,,
1:1040,Saint Barbare Cemetery,,წმინდა ბარბარეს სასაფლაო,,,41.664541,,44.890723,,128,,,,,,
1:1041,Public School #106,,#106-ე საჯარო სკოლა,,,41.670241,,44.882197,,139,,,,,,
1:1042,Public School #106,,#106-ე საჯარო სკოლა,,,41.670159,,44.882377,,327,,,,,,
1:1045,Nakaduli Street,,ნაკადულის ქუჩა,,,41.663004,,44.894155,,307,,,,,,
1:1046,Nakaduli Street,,ნაკადულის ქუჩა,,,41.662559,,44.894625,,127,,,,,,
1:1047,Ana Kalandadze Street,,ანა კალანდაძის ქუჩა,,,41.727994,,44.772578,,322,,,,,,
1:1050,M/S Medical University,,"მ/ს ""სამედიცინო უნივერსიტეტი""",,,41.727488,,44.765537,,266,,,,,,
1:1051,Otar Chiladze Street,,ოთარ ჭილაძის ქუჩა,,,41.727211,,44.762517,,263,,,,,,
1:1054,Republican Hospital,,რესპუბლიკური საავადმყოფო,,,41.726771,,44.757888,,263,,,,,,
1:1055,Medical University,,სამედიცინო უნივერსიტეტი,,,41.726303,,44.753119,,264,,,,,,
1:1057,Maro Makashvili Rise #15,,მარო მაყაშვილის აღმართი #15,,,41.685158,,44.794658,,44,,,,,,
1:1063,Lech Kaczynski,,ლეხ კაჩინსკის ქუჩა,,,41.686997,,44.833679,,100,,,,,,
1:1065,Abuseridze Tbeli Street,,აბუსერიძე ტბელის ქუჩა,,,41.685909,,44.849877,,91,,,,,,
1:1066,"M/S ""Samgori""",,"მ/ს ""სამგორი""",,,41.685136,,44.854823,,286,,,,,,
1:1068,Moscow Avenue #15,,მოსკოვის გამზირი #15,,,41.683293,,44.862786,,113,,,,,,
1:1069,Moscow Avenue #15,,მოსკოვის გამზირი #15,,,41.683304,,44.863044,,296,,,,,,
1:1070,Moscow Avenue #19,,მოსკოვის გამზირი #19,,,41.681166,,44.867236,,119,,,,,,
1:1071,Moscow Avenue #19,,მოსკოვის გამზირი #19,,,41.68118,,44.867485,,295,,,,,,
1:1072,Grigol Lortkipanidze Street,,გრიგოლ ლორთქიფანიძის ქუჩა,,,41.680973,,44.870768,,350,,,,,,
1:1074,Moscow Avenue #24a,,მოსკოვის გამზირი #24ა,,,41.676558,,44.875468,,313,,,,,,
1:1075,Moscow Avenue #29,,მოსკოვის გამზირი #29,,,41.676682,,44.874792,,135,,,,,,
1:1076,Moscow Avenue #38,,მოსკოვის გამზირი #38,,,41.674679,,44.879421,,299,,,,,,
1:1077,Moscow Avenue #33,,მოსკოვის გამზირი #33,,,41.674697,,44.878501,,119,,,,,,
1:1079,Nana Samarguliani Street,,ნანა სამარგულიანის ქუჩა,,,41.672475,,44.883978,,121,,,,,,
1:1080,Nana Samarguliani Street,,ნანა სამარგულიანის ქუჩა,,,41.673124,,44.883233,,299,,,,,,
1:1081,Moscow Avenue #45,,მოსკოვის გამზირი #45,,,41.671141,,44.887438,,118,,,,,,
1:1082,Moscow Avenue #47,,მოსკოვის გამზირი #47,,,41.671363,,44.887648,,297,,,,,,
1:1085,Railway Sorter,,რკინიგზის მახარისხებელი,,,41.670061,,44.900458,,117,,,,,,
1:1086,Railway Sorter,,რკინიგზის მახარისხებელი,,,41.670263,,44.90019,,297,,,,,,
1:1087,Kindzmarauli St #15,,ქინძმარაულის ქუჩა #15,,,41.667314,,44.908467,,118,,,,,,
1:1088,Kindzmarauli St #15,,ქინძმარაულის ქუჩა #15,,,41.66722,,44.908985,,296,,,,,,
1:1089,Saferavi Street,,საფერავის ქუჩა,,,41.669127,,44.904173,,103,,,,,,
1:1090,Saferavi Street,,საფერავის ქუჩა,,,41.669342,,44.903467,,283,,,,,,
1:1091,Frone Street,,ფრონეს ქუჩა,,,41.663503,,44.917927,,241,,,,,,
1:1092,Frone Street,,ფრონეს ქუჩა,,,41.663567,,44.918236,,65,,,,,,
1:1093,Public School #131,,#131-ე საჯარო სკოლა,,,41.670548,,44.914105,,208,,,,,,
1:1095,Besarion Chichinadze Street #21,,ბესარიონ ჭიჭინაძის ქუჩა #21,,,41.673727,,44.913813,,147,,,,,,
1:1096,Besarion Chichinadze Street #21,,ბესარიონ ჭიჭინაძის ქუჩა #21,,,41.673606,,44.914061,,328,,,,,,
1:1097,Public School for Impaired Vision people #201,,#201-ე სუსტმხედველთა საჯარო სკოლა,,,41.675066,,44.912775,,325,,,,,,
1:1098,Public School for Impaired Vision people #201,,#201-ე სუსტმხედველთა საჯარო სკოლა,,,41.67536,,44.91238,,148,,,,,,
1:1099,Public School #94,,#94-ე საჯარო სკოლა,,,41.672004,,44.915349,,147,,,,,,
1:1101,Gumathesi Street #13,,გუმათჰესის ქუჩა #13,,,41.668907,,44.91296,,207,,,,,,
1:1102,Gumathesi Street #10,,გუმათჰესის ქუჩა #10,,,41.668075,,44.91466,,117,,,,,,
1:1103,Besarion Chichinadze Street,,ბესარიონ ჭიჭინაძის ქუჩა,,,41.666166,,44.919536,,117,,,,,,
1:1104,Engurhesi Street,,ენგურჰესის ქუჩა,,,41.66715,,44.917173,,308,,,,,,
1:1106,Zghvis Ubani Block X,,ზღვის უბანი X კვარტალი,,,41.780305,,44.804059,,167,,,,,,
1:1107,Abai Street,,აბაის ქუჩა,,,41.777323,,44.806357,,117,,,,,,
1:1108,Zghvis Ubani XI M/D I Block,,ზღვის უბნის XI მ/რ I კვარტალი,,,41.776207,,44.80897,,128,,,,,,
1:1109,Zghvis Ubani XI M/D II Block,,ზღვის უბნის XI მ/რ II კვარტალი,,,41.774722,,44.811564,,128,,,,,,
1:1110,Guram Kutatelidze Street,,გურამ ქუთათელაძის ქუჩა,,,41.773042,,44.814018,,130,,,,,,
1:1112,College of Railway Transport,,სარკინიგზო ტრანსპორტის კოლეჯი,,,41.77188,,44.822389,,44,,,,,,
1:1113,Davit Nishnianidze Street,,დავით ნიშნიანიძის ქუჩა,,,41.774009,,44.824253,,47,,,,,,
1:1114,Levan Rcheulishvili Street,,ლევან რჩეულიშვილის ქუჩა,,,41.778613,,44.823918,,317,,,,,,
1:1115,Alex Gobronidze St #3,,ალექსი გობრონიძის ქუჩა კორპუსი #3,,,41.782469,,44.827636,,310,,,,,,
1:1116,Alexi Gobronidze St #22,,ალექსი გობრონიძის ქუჩა კორპუსი #22,,,41.783825,,44.82542,,308,,,,,,
1:1117,Alexi Gobronidze St #23,,ალექსი გობრონიძის ქუჩა კორპუსი #23,,,41.785089,,44.823363,,311,,,,,,
1:1118,"Mukhiani M/D-4b, #35a",,"მუხიანის IVბ მ/რ, კორპუსი #35ა",,,41.781005,,44.830117,,295,,,,,,
1:1119,Metro Station Akhmeteli Theatre,,"მ/ს ""ახმეტელის თეატრი""",,,41.791115,,44.817004,,296,,,,,,
1:1121,Alexi Gobronidze St #2,,ალექსი გობრონიძის ქუჩა კორპუსი #2,,,41.786987,,44.820303,,307,,,,,,
1:1123,Avetik Isaakiani Street,,ავეტიკ ისააკიანის ქუჩა,,,41.781813,,44.827542,,220,,,,,,
1:1125,Davit Nishnianidze Street,,დავით ნიშნიანიძის ქუჩა,,,41.774068,,44.824174,,223,,,,,,
1:1126,College of Railway Transport,,სარკინიგზო ტრანსპორტის კოლეჯი,,,41.771718,,44.821915,,242,,,,,,
1:1128,Guram Kutatelidze Street,,გურამ ქუთათელაძის ქუჩა,,,41.77308,,44.814134,,311,,,,,,
1:1129,Zghvis Ubani XI M/D II Block,,ზღვის უბნის XI მ/რ II კვარტალი,,,41.77443,,44.812202,,315,,,,,,
1:1130,Zghvis Ubani XI M/D I Block,,ზღვის უბნის XI მ/რ I კვარტალი,,,41.775912,,44.809648,,307,,,,,,
1:1131,Abai Street,,აბაის ქუჩა,,,41.777349,,44.806548,,300,,,,,,
1:1132,Zghvis Ubani Block X,,ზღვის უბანი X კვარტალი,,,41.780493,,44.804121,,347,,,,,,
1:1151,Vake Park,,ვაკის პარკი,,,41.711802,41.711754,44.751126,44.751179,82,,,HUB_1_3982,,,
1:1153,Mikheil Meskhi Stadium,,მიხეილ მესხის სახელობის სტადიონი,,,41.711475,,44.746574,,260,,,,,,
1:1154,Mikheil Meskhi Stadium,,მიხეილ მესხის სახელობის სტადიონი,,,41.711383,,44.74659,,83,,,,,,
1:1155,Soliko Khabeishvili Street,,სოლიკო ხაბეიშვილის ქუჩა,,,41.711098,,44.743923,,242,,,,,,
1:1156,Soliko Khabeishvili Street,,სოლიკო ხაბეიშვილის ქუჩა,,,41.711001,,44.743946,,57,,,,,,
1:1161,Jiuli Shartava St #42,,ჟიული შარტავას ქუჩა #42,,,41.730678,,44.769652,,145,,,,,,
1:1162,Jiuli Shartava St #43,,ჟიული შარტავას ქუჩა #43,,,41.730656,,44.769832,,315,,,,,,
1:1163,Zurab Zhvania Square,,ზურაბ ჟვანიას მოედანი,,,41.731391,41.73133,44.767804,44.76788,350,,,,,,
1:1165,Gabriel ISakadze Street,,გაბრიელ ისაკაძის ქუჩა,,,41.734241,,44.769625,,18,,,,,,
1:1166,Elisabed Cherkezishvili Street,,ელისაბედ ჩერქეზიშვილის ქუჩა,,,41.735286,,44.769695,,199,,,,,,
1:1170,Ministry of Environmental Protection and Agriculture,,გარემოს დაცვისა და სოფლის მეურნეობის სამინისტრო,,,41.753197,,44.769655,,354,,,,,,
